Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
ikon Technologies,82,http://www.ikontechnologies.com,http://www.linkedin.com/company/ikon-gps,623f4e4de7308b0001affbc3
"IMA Financial Group, Inc.",2200,http://www.imacorp.com,http://www.linkedin.com/company/ima-financial-group-inc,623e7190a54da200a530ce9a
Infinite Computer Solutions,5100,http://www.infinite.com,http://www.linkedin.com/company/infinite-computer-solutions,622234fa11146f000118e3e2
"InfoIMAGE, Inc.",98,http://www.infoimageinc.com,http://www.linkedin.com/company/infoimage-inc.,623f4e4de7308b0001affb8c
InfoStride,140,http://www.infostride.com,http://www.linkedin.com/company/infostride,6220ec770bd2a5000132c18e
Infosys,279000,http://www.infosys.com,http://www.linkedin.com/company/infosys,620176553e1b060001a1fb93
InfoVision Inc.,1200,http://www.infovision.com,http://www.linkedin.com/company/infovision,620176553e1b060001a1fba1
Inovalon,2800,http://www.inovalon.com,http://www.linkedin.com/company/inovalon,622f8e0e0aa8590001097e62
Insight Global,11000,http://www.insightglobal.com,http://www.linkedin.com/company/insight-global,620176553e1b060001a1fba3
Iris Software Inc.,2400,http://www.irissoftware.com,http://www.linkedin.com/company/iris-software-inc.,623e716ee65d90008df02449
(ISC)²,530,http://www.isc2.org,http://www.linkedin.com/company/isc2,623f4e4de7308b0001affb54
isite itecnologies inc,33,http://www.isiteinfo.com,http://www.linkedin.com/company/isite-technologies,623f4e4de7308b0001affbc4
IT Motives,19,http://www.itmotives.com,http://www.linkedin.com/company/it-motives,623f4e4de7308b0001affb8b
"InfoTech Resources, Inc.",5,http://www.itresources.com,http://www.linkedin.com/company/infotech-resources-inc-,623f4e4de7308b0001affb8d
Jack Henry & Associates,6200,http://www.jackhenry.com,http://www.linkedin.com/company/jack-henry-&-associates,62152ff5a2911b00019101bd
JCPenney,35000,http://www.jcpenney.com,http://www.linkedin.com/company/jcpenney,62152ff5a2911b000191012f
JLL,71000,http://www.jll.com,http://www.linkedin.com/company/jll,620a7b18c47acf00010f4ee3
Johnson Controls,71000,http://www.johnsoncontrols.com,http://www.linkedin.com/company/johnson-controls,620a7b18c47acf00010f4ee5
JPMorgan Chase & Co.,302000,http://www.jpmorganchase.com,http://www.linkedin.com/company/jpmorganchase,62152ff5a2911b00019101be
JRD Systems,150,http://www.jrdsi.com,http://www.linkedin.com/company/jrd-systems,623f4e4de7308b0001affb8e
"Kaeppel Consulting, LLC",46,http://www.kaeppelconsulting.com,http://www.linkedin.com/company/kaeppel-consulting,623f4e4de7308b0001affb90
KLM Careers,2,http://www.klm.com,http://www.linkedin.com/company/klm-careers,62334fa73a4be500019b3e5c
Knauf Insulation North America,370,http://www.knaufnorthamerica.com,http://www.linkedin.com/company/knaufna,623f4e4de7308b0001affb91
KOMMLINk GmbH,13,http://www.kommlink.de,http://www.linkedin.com/company/kommlink-gmbh,623f4e4de7308b0001affb8f
"LanceSoft, Inc.",2700,http://www.lancesoft.com,http://www.linkedin.com/company/lancesoft,61f9608a66f7f20001ee0493
Latitude Inc,52,http://www.latitudeinc.net,http://www.linkedin.com/company/latitudeinc,620176553e1b060001a1fbca
Lehigh Hanson,2200,http://www.lehighhanson.com,http://www.linkedin.com/company/lehigh-hanson,623e71284b2c2000a5e825ec
Lightbeam Health Solutions,140,http://www.lightbeamhealth.com,http://www.linkedin.com/company/lightbeamhealth,61fbf9ddfd56980001814547
LTI - Larsen & Toubro Infotech,43000,http://www.lntinfotech.com,http://www.linkedin.com/company/l&t-infotech,620176553e1b060001a1fbd1
Longroad Energy,120,http://www.longroadenergy.com,http://www.linkedin.com/company/longroad-energy-partners,623f4e4de7308b0001affb92
Lorven Technologies Inc,240,http://www.lorventech.com,http://www.linkedin.com/company/lorventech,62152ff5a2911b00019101c8
"Levi, Ray & Shoup, Inc. (LRS)",780,http://www.lrs.com,http://www.linkedin.com/company/lrs,622234fa11146f000118e403
Lume Deodorant,40,http://www.lumedeodorant.com,http://www.linkedin.com/company/lume-deodorant,623f4e4de7308b0001affb93
Luminos Labs,80,http://www.luminoslabs.com,http://www.linkedin.com/company/luminos-labs,623f4e4de7308b0001affb94
Lunavi,46,http://www.lunavi.nl,http://www.linkedin.com/company/lunavi-kraamzorg,623f4e4de7308b0001affb95
Luxoft,15000,http://www.luxoft.com,http://www.linkedin.com/company/luxoft,6205526548cf3b0001a2e103
Lyft,23000,http://www.lyft.com,http://www.linkedin.com/company/lyft,623f4e4de7308b0001affb96
"Martek Global Services, Inc.",110,http://www.martekglobal.com,http://www.linkedin.com/company/martek-global-services,623f4e4de7308b0001affb98
Mastech Digital,1100,http://www.mastechdigital.com,http://www.linkedin.com/company/mastech,61f9608a66f7f20001ee0496
Matlen Silver,320,http://www.matlensilver.com,http://www.linkedin.com/company/matlen-silver,62333b017c75190135190a78
MATRIX Resources,1100,http://www.matrixres.com,http://www.linkedin.com/company/matrix-resources,623e723c816b6e00a55e6e9b
Midwest Consulting Group,420,http://www.mcginfo.com,http://www.linkedin.com/company/midwest-consulting-group,623e7223e65d90008df02813
Meridian Technologies,300,http://www.meridiantechnologies.net,http://www.linkedin.com/company/meridian-technologies,623f4e4de7308b0001affb99
"Metasys Technologies, Inc.",160,http://www.metasysinc.com,http://www.linkedin.com/company/metasys-technologies-inc-,620176553e1b060001a1fbe5
MFX,350,http://www.mfxservices.com,http://www.linkedin.com/company/mfx-services,623f4e4de7308b0001affb97
Micasa Global,30,http://www.micasaglobal.com,http://www.linkedin.com/company/micasa-global,62152ff5a2911b00019101cb
Mindtree,37000,http://www.mindtree.com,http://www.linkedin.com/company/mindtreeltd,61f805fb0d4ff40001b1c0fa
Modis,9100,http://www.modis.com,http://www.linkedin.com/company/modis,62152ff5a2911b00019101ce
Mojo Trek,13,http://www.mojotrek.com,http://www.linkedin.com/company/mojo-trek,622a378df04896000113eb86
Molina Healthcare,11000,http://www.molinahealthcare.com,http://www.linkedin.com/company/molina-healthcare,61fd51a6ad5cfa0001b69114
MoneyGram International,2900,http://www.moneygram.com,http://www.linkedin.com/company/moneygram-international,62152ff5a2911b00019101cf
Mouser Electronics,1700,http://www.mouser.com,http://www.linkedin.com/company/mouser-electronics,620a7b18c47acf00010f4ef0
Nascent Global,24,http://www.nascentglobal.com,http://www.linkedin.com/company/nascent-global,623f4e4de7308b0001affb9a
National Software Management,27,http://www.nationalsoftwaremanagement.com,http://www.linkedin.com/company/national-software-management,620a7b18c47acf00010f4ef3
NBCUniversal,54000,http://www.nbcuniversal.com,http://www.linkedin.com/company/nbcuniversal-inc-,62152ff5a2911b000191014c
Nelnet Community Engagement,29,http://www.nelnet.com,http://www.linkedin.com/company/nelnetintl,6220ffabc86ebf0001db59e1
Ness Digital Engineering,5600,http://www.ness.com,http://www.linkedin.com/company/ness-ses,6220ec770bd2a5000132c1d6
Neudesic,1400,http://www.neudesic.com,http://www.linkedin.com/company/neudesic,623f4e4de7308b0001affb9b
NFI,5800,http://www.nfiindustries.com,http://www.linkedin.com/company/nfi,6205526548cf3b0001a2e113
Nolan Transportation Group (NTG),1600,http://www.ntgfreight.com,http://www.linkedin.com/company/nolan-transportation-ntg,623f4e4de7308b0001affb9c
NTT DATA Services,27000,http://www.nttdata.com,http://www.linkedin.com/company/ntt-data-americas,61f9608a66f7f20001ee049e
Oceaneering,11000,http://www.oceaneering.com,http://www.linkedin.com/company/oceaneering,622234fa11146f000118e43d
Oculus VR,1100,http://www.oculus.com,http://www.linkedin.com/company/oculus-vr,62152ff5a2911b00019101d7
OpenText,15000,http://www.opentext.com,http://www.linkedin.com/company/opentext,623f4e4de7308b0001affb9d
Oracle,224000,http://www.oracle.com,http://www.linkedin.com/company/oracle,620176553e1b060001a1fc12
Oregon Lottery,230,http://www.oregonlottery.org,http://www.linkedin.com/company/oregon-state-lottery,623f4e4de7308b0001affb9e
ORIX Corporation USA,620,http://www.orix.com,http://www.linkedin.com/company/orix,61f9608a66f7f20001ee04a0
OscarMike,16,http://www.oscarmike.org,http://www.linkedin.com/company/oscar-mike-foundation,62152ff5a2911b0001910177
Patriot Talent Solutions,21,http://www.patriottalent.com,http://www.linkedin.com/company/patriot-talent-solutions,622f86c7d215c800dc20496b
